location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-01-01,0.7,124.6,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-02,0.0,124.31,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-03,0.0,123.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-04,0.8,123.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-05,1.5,123.17,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-06,2.0,123.17,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-07,0.7,123.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-08,1.6,123.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-09,0.4,124.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-10,0.7,124.31,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-11,0.0,124.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-12,0.0,123.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-13,0.0,123.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-14,1.7,122.88,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-15,2.4,122.31,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-16,0.0,122.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-17,0.2,121.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-18,0.7,121.46,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-19,0.3,121.18,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-20,0.0,120.9,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-21,0.0,120.62,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-22,0.0,120.34,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-23,0.0,120.06,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-24,0.2,119.5,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-25,0.0,118.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-26,0.7,118.67,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-27,0.5,118.4,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-28,0.6,118.4,low,default_low_unconfirmed
"Lagos, Nigeria",2010-01-29,0.4,118.4,low,default_low_unconfirmed
