location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",1985-01-01,4.4,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-02,0.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-03,0.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-04,4.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-05,2.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-06,4.3,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-07,0.2,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-08,2.8,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-09,0.1,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-10,3.7,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-11,3.7,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-12,7.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-13,2.2,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-14,4.0,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-15,11.6,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-16,6.4,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-17,0.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-18,0.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-19,0.3,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-20,0.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-21,2.3,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-22,0.4,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-23,3.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-24,0.9,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-25,0.3,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-26,2.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-27,3.3,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-28,1.5,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-29,0.9,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-30,3.1,,low,default_low_unconfirmed
"Lagos, Nigeria",1985-01-31,4.0,,low,default_low_unconfirmed
